# submitted_item	validated_id	current_symbol
FBgn0083951	FBgn0083951	CG34115
FBgn0031478	FBgn0031478	CG8814
FBgn0262515	FBgn0262515	VhaAC45
FBgn0259964	FBgn0259964	Sfp33A3
FBgn0029092	FBgn0029092	ced-6
FBgn0036887	FBgn0036887	CG9231
FBgn0024556	FBgn0024556	mEFTu1
FBgn0038826	FBgn0038826	Syp
FBgn0052230	FBgn0052230	ND-MLRQ
FBgn0015221	FBgn0015221	Fer2LCH
FBgn0262559	FBgn0262559	Mdh2
FBgn0034237	FBgn0034237	eIF3b
FBgn0028968	FBgn0028968	gammaCOP
FBgn0003676	FBgn0003676	CCT1
FBgn0015795	FBgn0015795	Rab7
FBgn0017545	FBgn0017545	RpS3A
FBgn0010411	FBgn0010411	RpS18
FBgn0031497	FBgn0031497	SerRS
FBgn0028687	FBgn0028687	Rpt1
FBgn0035799	FBgn0035799	CG14838
FBgn0034497	FBgn0034497	Mpcp1
FBgn0054033	FBgn0054033	CG34033
FBgn0030814	FBgn0030814	CG4955
FBgn0002865	FBgn0002865	Mst98Ca
FBgn0266711	FBgn0266711	EloC
FBgn0265268	FBgn0265268	CG18234
FBgn0029128	FBgn0284435	tyn
FBgn0004419	FBgn0004419	me31B
FBgn0086347	FBgn0086347	Myo31DF
FBgn0035089	FBgn0035089	Phk-3
FBgn0036908	FBgn0036908	TORIP
FBgn0040660	FBgn0040660	CG13551
FBgn0034800	FBgn0034800	CG3788
FBgn0264086	FBgn0264086	CG43755
FBgn0035498	FBgn0035498	Fit1
FBgn0083960	FBgn0083960	CG34124
FBgn0028997	FBgn0028997	nmdyn-D7
FBgn0027785	FBgn0027785	NP15.6
FBgn0032897	FBgn0032897	CG9336
FBgn0250838	FBgn0250838	roh
FBgn0040371	FBgn0040371	CG12470
FBgn0082582	FBgn0082582	tmod
FBgn0032397	FBgn0032397	Tom70
FBgn0036106	FBgn0036106	CG6409
FBgn0033464	FBgn0033464	CG1441
FBgn0029501	FBgn0029501	Crtp
FBgn0028665	FBgn0285910	VhaAC39-1
FBgn0027094	FBgn0027094	AlaRS
FBgn0001125	FBgn0001125	Got2
FBgn0020509	FBgn0020509	Acp62F
FBgn0035383	FBgn0035383	CPT2
FBgn0016687	FBgn0016687	Nurf-38
FBgn0261799	FBgn0261799	dsx-c73A
FBgn0053303	FBgn0053303	CG33303
FBgn0260764	FBgn0260764	CG42562
FBgn0267408	FBgn0267408	AOX1
FBgn0259956	FBgn0259956	Sfp24C1
FBgn0016701	FBgn0016701	Rab4
FBgn0038194	FBgn0038194	Cyp6d5
FBgn0038400	FBgn0038400	CG5903
FBgn0266758	FBgn0266758	Esyt2
FBgn0265274	FBgn0265274	Inx3
FBgn0265003	FBgn0265003	koi
FBgn0028546	FBgn0028546	ics
FBgn0040237	FBgn0287225	bor
FBgn0039851	FBgn0039851	mey
FBgn0030519	FBgn0030519	CG11151
FBgn0029762	FBgn0029762	NAAT1
FBgn0000359	FBgn0000359	Cp36
FBgn0014163	FBgn0014163	fax
FBgn0028415	FBgn0028415	Met75Cb
FBgn0034583	FBgn0034583	CG10527
FBgn0283461	FBgn0283461	Drs
FBgn0026761	FBgn0026761	Trap1
FBgn0035280	FBgn0035280	Cpr62Bb
FBgn0053530	FBgn0053530	Acp53C14c
FBgn0011230	FBgn0011230	poe
FBgn0040996	FBgn0040996	CG12617
FBgn0266448	FBgn0266448	CG45078
FBgn0034802	FBgn0034802	CNBP
FBgn0027329	FBgn0027329	CCT6
FBgn0039257	FBgn0039257	tnc
FBgn0032170	FBgn0032170	CG4658
FBgn0002607	FBgn0285950	RpL19
FBgn0010078	FBgn0010078	RpL23
FBgn0053126	FBgn0053126	NLaz
FBgn0013813	FBgn0013813	Dhc98D
FBgn0037172	FBgn0037172	ND-B14.5AL
FBgn0052985	FBgn0052985	CG32985
FBgn0022709	FBgn0022709	Ak1
FBgn0032494	FBgn0032494	CG5945
FBgn0005533	FBgn0005533	RpS17
FBgn0032242	FBgn0032242	CG5355
FBgn0033863	FBgn0033863	CG13337
FBgn0004432	FBgn0004432	Cyp1
FBgn0040259	FBgn0040259	Ugt302C1
FBgn0010621	FBgn0010621	CCT5
FBgn0030976	FBgn0030976	CG7378
FBgn0031451	FBgn0031451	CG9961
FBgn0028944	FBgn0028944	Semp1
FBgn0039024	FBgn0039024	Nepl15
FBgn0038173	FBgn0038173	Adgf-C
FBgn0002930	FBgn0002930	nec
FBgn0085407	FBgn0085407	Pvf3
FBgn0039521	FBgn0039521	CG5402
FBgn0035032	FBgn0035032	ATPsynF
FBgn0035321	FBgn0035321	CG1275
FBgn0036490	FBgn0036490	CG6888
FBgn0000244	FBgn0000244	by
FBgn0003046	FBgn0003046	Pcp
FBgn0261550	FBgn0261550	CG42668
FBgn0250843	FBgn0250843	Prosalpha6
FBgn0035501	FBgn0035501	CG1299
FBgn0037718	FBgn0037718	P58IPK
FBgn0086904	FBgn0086904	Nacalpha
FBgn0015268	FBgn0015268	Nap1
FBgn0029868	FBgn0029868	ND-B16.6
FBgn0035328	FBgn0035328	yellow-g2
FBgn0042207	FBgn0042207	CG18530
FBgn0028427	FBgn0028427	Ilk
FBgn0031171	FBgn0031171	CG1801
FBgn0011570	FBgn0011570	cpb
FBgn0051697	FBgn0051697	CG31697
FBgn0013763	FBgn0013763	Idgf6
FBgn0259700	FBgn0259700	CG42354
FBgn0037298	FBgn0037298	Sccpdh1
FBgn0035567	FBgn0035567	CG7514
FBgn0014075	FBgn0014075	Uggt
FBgn0036316	FBgn0036316	CG10960
FBgn0033961	FBgn0033961	ND-B15
FBgn0027088	FBgn0027088	GlyRS
FBgn0035499	FBgn0035499	Chd64
FBgn0250835	FBgn0250835	CG15394
FBgn0259965	FBgn0259965	Sfp35C
FBgn0037749	FBgn0037749	CG9471
FBgn0033482	FBgn0033482	CG1371
FBgn0028684	FBgn0028684	Rpt5
FBgn0021825	FBgn0021825	DCTN2-p50
FBgn0034105	FBgn0034105	CG7755
FBgn0024947	FBgn0024947	NTPase
FBgn0038387	FBgn0038387	blp
FBgn0261054	FBgn0261054	Sfp24Bc
FBgn0029854	FBgn0029854	CG3566
FBgn0283508	FBgn0283508	nw
FBgn0040763	FBgn0040763	CG18336
FBgn0028695	FBgn0028695	Rpn1
FBgn0027493	FBgn0027493	AdSS
FBgn0283471	FBgn0283471	wupA
FBgn0011296	FBgn0011296	l(2)efl
FBgn0027621	FBgn0027621	Pfrx
FBgn0035753	FBgn0035753	RpL18
FBgn0010198	FBgn0010198	RpS15Aa
FBgn0086712	FBgn0086712	Egm
FBgn0050410	FBgn0050410	Rpi
FBgn0035490	FBgn0035490	CG1136
FBgn0264574	FBgn0264574	Glut1
FBgn0039529	FBgn0039529	CG5612
FBgn0010516	FBgn0010516	wal
FBgn0051798	FBgn0051798	CG31798
FBgn0034405	FBgn0034405	Jheh2
FBgn0004636	FBgn0004636	Rap1
FBgn0038964	FBgn0038964	Nop56
FBgn0039269	FBgn0039269	veli
FBgn0027554	FBgn0027554	CG8042
FBgn0050324	FBgn0050324	CG30324
FBgn0037254	FBgn0037254	CG14651
FBgn0030359	FBgn0030359	CG18130
FBgn0037464	FBgn0037464	Mst84B
FBgn0259226	FBgn0259226	CG42326
FBgn0016041	FBgn0016041	Tom40
FBgn0038631	FBgn0038631	CG7695
FBgn0038797	FBgn0038797	Dic2
FBgn0035588	FBgn0035588	CG10672
FBgn0001256	FBgn0001256	ImpL1
FBgn0004646	FBgn0004646	ogre
FBgn0039175	FBgn0039175	beta-PheRS
FBgn0033954	FBgn0033954	CG12860
FBgn0010235	FBgn0010235	Klc
FBgn0027588	FBgn0027588	GCS2alpha
FBgn0022382	FBgn0022382	Pka-R2
FBgn0267828	FBgn0267828	Fatp1
FBgn0085692	FBgn0085692	CG41561
FBgn0259958	FBgn0259958	Sfp24F
FBgn0037632	FBgn0037632	CCT7
FBgn0038017	FBgn0038017	CG4115
FBgn0031692	FBgn0031692	TpnC25D
FBgn0037433	FBgn0037433	CG17919
FBgn0032015	FBgn0032015	Ostgamma
FBgn0011760	FBgn0011760	ctp
FBgn0022023	FBgn0022023	eIF3h
FBgn0013343	FBgn0013343	Syx1A
FBgn0035371	FBgn0035371	AhcyL1
FBgn0035694	FBgn0035694	CG13299
FBgn0017567	FBgn0017567	ND-23
FBgn0051542	FBgn0051542	CG31542
FBgn0031850	FBgn0031850	Tsp
FBgn0031260	FBgn0031260	Spp
FBgn0014868	FBgn0014868	Ost48
FBgn0259951	FBgn0259951	Sfp24Ba
FBgn0024432	FBgn0024432	Dlc90F
FBgn0029888	FBgn0029888	ND-ASHI
FBgn0030733	FBgn0030733	UQCR-14
FBgn0032372	FBgn0032372	CG4988
FBgn0003231	FBgn0003231	ref(2)P
FBgn0031108	FBgn0031108	CG15459
FBgn0032713	FBgn0032713	Ugt36D1
FBgn0016693	FBgn0016693	Past1
FBgn0036258	FBgn0036258	eIF3l
FBgn0026418	FBgn0026418	Hsc70Cb
FBgn0038803	FBgn0038803	CG5191
FBgn0266449	FBgn0266449	Kr-h2
FBgn0015031	FBgn0015031	cype
FBgn0086687	FBgn0086687	Desat1
FBgn0261606	FBgn0285948	RpL27A
FBgn0040582	FBgn0040582	BomBc3
FBgn0038745	FBgn0038745	ClpX
FBgn0024734	FBgn0024734	PRL-1
FBgn0052626	FBgn0052626	AMPdeam
FBgn0083965	FBgn0083965	CG34129
FBgn0259967	FBgn0259967	Sfp53D
FBgn0010470	FBgn0010470	Fkbp14
FBgn0036745	FBgn0036745	CG7484
FBgn0002579	FBgn0002579	RpL36
FBgn0031235	FBgn0031235	CG13693
FBgn0040260	FBgn0040260	Ugt37D1
FBgn0033699	FBgn0033699	RpS11
FBgn0027568	FBgn0027568	Cand1
FBgn0025286	FBgn0285949	RpL31
FBgn0039568	FBgn0039568	CG4815
FBgn0032518	FBgn0032518	RpL24
FBgn0004921	FBgn0004921	Ggamma1
FBgn0002973	FBgn0002973	numb
FBgn0031092	FBgn0031092	CG9577
FBgn0038733	FBgn0038733	CG11407
FBgn0040349	FBgn0040349	CG3699
FBgn0025582	FBgn0025582	eIF3e
FBgn0037796	FBgn0037796	CG12814
FBgn0030160	FBgn0030160	CG9691
FBgn0015805	FBgn0015805	HDAC1
FBgn0015801	FBgn0015801	Reg-5
FBgn0266377	FBgn0266377	Pde8
FBgn0086472	FBgn0086472	RpS25
FBgn0260763	FBgn0260763	CG42561
FBgn0033378	FBgn0033378	tsu
FBgn0025612	FBgn0025612	CG3062
FBgn0250785	FBgn0250785	vari
FBgn0041630	FBgn0041630	Hexo1
FBgn0039358	FBgn0039358	CG5028
FBgn0004648	FBgn0004648	svr
FBgn0036318	FBgn0036318	Wbp2
FBgn0035001	FBgn0035001	Slik
FBgn0046214	FBgn0046214	vig2
FBgn0039172	FBgn0039172	Spase22-23
FBgn0265935	FBgn0265935	coro
FBgn0050278	FBgn0050278	CG30278
FBgn0027338	FBgn0027338	Kap-alpha3
FBgn0030724	FBgn0030724	Nipsnap
FBgn0033033	FBgn0033033	scaf
FBgn0032853	FBgn0032853	CG10651
FBgn0031785	FBgn0031785	CG13991
FBgn0037537	FBgn0037537	CG2767
FBgn0032444	FBgn0032444	CCT4
FBgn0033981	FBgn0033981	Cyp6a21
FBgn0002121	FBgn0002121	l(2)gl
FBgn0033879	FBgn0033879	Echs1
FBgn0037351	FBgn0037351	RpL13A
FBgn0029838	FBgn0029838	CG4666
FBgn0000084	FBgn0000084	AnxB10
FBgn0020255	FBgn0020255	Ran
FBgn0015778	FBgn0015778	rin
FBgn0031771	FBgn0031771	ND-51
FBgn0051516	FBgn0051516	CG31516
FBgn0040795	FBgn0040795	CG13038
FBgn0038511	FBgn0038511	cysu
FBgn0037985	FBgn0037985	ssp5
FBgn0044812	FBgn0044812	TotC
FBgn0039796	FBgn0039796	CG12069
FBgn0033570	FBgn0033570	ND-B14
FBgn0036877	FBgn0036877	CG9452
FBgn0033286	FBgn0033286	CG2127
FBgn0032643	FBgn0032643	GCS2beta
FBgn0030718	FBgn0030718	ND-20
FBgn0041709	FBgn0041709	yellow-g
FBgn0034877	FBgn0034877	levy
FBgn0041775	FBgn0041775	tral
FBgn0000083	FBgn0000083	AnxB9
FBgn0013269	FBgn0013269	Fkbp39
FBgn0037913	FBgn0037913	fabp
FBgn0033320	FBgn0033320	CG8586
FBgn0052521	FBgn0052521	CG32521
FBgn0010265	FBgn0010265	RpS13
FBgn0035772	FBgn0035772	Sh3beta
FBgn0032422	FBgn0032422	atilla
FBgn0031129	FBgn0031129	CG1324
FBgn0267350	FBgn0267350	Pi4KIIIalpha
FBgn0004838	FBgn0004838	Hrb27C
FBgn0026479	FBgn0026479	Drp1
FBgn0037467	FBgn0037467	Ufl1
FBgn0028858	FBgn0028858	CG10839
FBgn0263351	FBgn0263351	AP-2mu
FBgn0036364	FBgn0036364	CG14109
FBgn0037239	FBgn0037239	Sfxn1-3
FBgn0035473	FBgn0035473	mge
FBgn0033902	FBgn0033902	eIF3m
FBgn0035763	FBgn0035763	mrva
FBgn0002783	FBgn0002783	mor
FBgn0051902	FBgn0051902	Spn28Da
FBgn0030038	FBgn0030038	CG1440
FBgn0028686	FBgn0028686	Rpt3
FBgn0023458	FBgn0023458	Rbcn-3A
FBgn0050491	FBgn0050491	CG30491
FBgn0032200	FBgn0032200	CG5676
FBgn0028336	FBgn0286222	Fum1
FBgn0036213	FBgn0036213	RpL10Ab
FBgn0036824	FBgn0036824	CG3902
FBgn0038642	FBgn0038642	Muc91C
FBgn0023023	FBgn0023023	CRMP
FBgn0001226	FBgn0001226	Hsp27
FBgn0042083	FBgn0042083	Mccc2
FBgn0041182	FBgn0041182	Tep2
FBgn0038892	FBgn0038892	CG15498
FBgn0053325	FBgn0053325	CG33325
FBgn0010380	FBgn0010380	AP-1-2beta
FBgn0261592	FBgn0261592	RpS6
FBgn0038395	FBgn0038395	CG10407
FBgn0039331	FBgn0039331	ND-49L
FBgn0025608	FBgn0025608	Faf2
FBgn0041713	FBgn0041713	yellow-c
FBgn0263236	FBgn0263236	SP1029
FBgn0003517	FBgn0003517	sta
FBgn0266268	FBgn0266268	FeCH
FBgn0001122	FBgn0001122	Galphao
FBgn0020653	FBgn0020653	Trxr-1
FBgn0023511	FBgn0023511	Edem1
FBgn0040309	FBgn0040309	Jafrac1
FBgn0001105	FBgn0001105	Gbeta13F
FBgn0261534	FBgn0261534	l(2)34Fc
FBgn0001090	FBgn0001090	bnb
FBgn0032601	FBgn0032601	yellow-b
FBgn0024814	FBgn0024814	Clc
FBgn0011016	FBgn0011016	SsRbeta
FBgn0263593	FBgn0263593	Lpin
FBgn0033814	FBgn0033814	Qsox1
FBgn0004237	FBgn0004237	Hrb87F
FBgn0037533	FBgn0037533	CD98hc
FBgn0040628	FBgn0040628	CAH16
FBgn0052396	FBgn0052396	CG32396
FBgn0003660	FBgn0003660	Syb
FBgn0262735	FBgn0285926	Imp
FBgn0038610	FBgn0038610	CG7675
FBgn0028870	FBgn0028870	CG4691
FBgn0020370	FBgn0020370	TppII
FBgn0001253	FBgn0001253	ImpE1
FBgn0042185	FBgn0042185	MCU
FBgn0032003	FBgn0032003	CG8349
FBgn0260960	FBgn0260960	Baldspot
FBgn0038957	FBgn0038957	CG7059
FBgn0016119	FBgn0016119	ATPsynCF6
FBgn0035724	FBgn0035724	CG10064
FBgn0032803	FBgn0032803	CG13082
FBgn0039928	FBgn0039928	Cals
FBgn0042187	FBgn0042187	CG17234
FBgn0037873	FBgn0037873	SdhC
FBgn0039909	FBgn0039909	ND-49
FBgn0034936	FBgn0034936	Stoml2
FBgn0283477	FBgn0283477	SF2
FBgn0024234	FBgn0024234	gbb
FBgn0027572	FBgn0027572	CG5009
FBgn0051803	FBgn0051803	Rsph9
FBgn0031066	FBgn0031066	COX6B
FBgn0085468	FBgn0085468	ND-MWFE
FBgn0264329	FBgn0264329	CG43788
FBgn0035046	FBgn0035046	ND-19
FBgn0028622	FBgn0028622	qsm
FBgn0029766	FBgn0029766	CG15784
FBgn0036816	FBgn0036816	Indy
FBgn0034138	FBgn0034138	RpS15
FBgn0260855	FBgn0260855	Sec22
FBgn0259974	FBgn0259974	Sfp84E
FBgn0266464	FBgn0266464	Nsf2
FBgn0250833	FBgn0250833	CG34461
FBgn0085384	FBgn0085384	CG34355
FBgn0005649	FBgn0005649	Rox8
FBgn0013954	FBgn0013954	Fkbp12
FBgn0013953	FBgn0013953	Esp
FBgn0086907	FBgn0086907	Cyt-c-d
FBgn0283469	FBgn0283469	Vps4
FBgn0266420	FBgn0266420	Ote
FBgn0040070	FBgn0040070	Trx-2
FBgn0035139	FBgn0035139	CG13891
FBgn0032160	FBgn0032160	CG4598
FBgn0063485	FBgn0063485	Lasp
FBgn0050382	FBgn0050382	CG30382
FBgn0261552	FBgn0261552	ps
FBgn0043539	FBgn0043539	Obp22a
FBgn0003065	FBgn0003065	CG2150
FBgn0031240	FBgn0031240	CG3345
FBgn0062442	FBgn0062442	Cisd2
FBgn0030251	FBgn0030251	CG2145
FBgn0020369	FBgn0020369	Rpt6
FBgn0025678	FBgn0025678	CaBP1
FBgn0030796	FBgn0030796	CG4829
FBgn0037995	FBgn0037995	Adk1
FBgn0031904	FBgn0031904	CG5149
FBgn0025814	FBgn0025814	Mgstl
FBgn0038296	FBgn0038296	CG6752
FBgn0037845	FBgn0037845	CG14694
FBgn0032536	FBgn0032536	Ance-3
FBgn0000299	FBgn0000299	Col4a1
FBgn0010387	FBgn0010387	Acbp2
FBgn0034394	FBgn0034394	CG15096
FBgn0031842	FBgn0286898	Tango1
FBgn0029508	FBgn0029508	Tsp42Ea
FBgn0015789	FBgn0015789	Rab10
FBgn0266582	FBgn0266582	ND-30
FBgn0011670	FBgn0011670	Mst57Dc
FBgn0000533	FBgn0000533	ea
FBgn0031561	FBgn0031561	IM33
FBgn0033451	FBgn0033451	Marc
FBgn0003391	FBgn0003391	shg
FBgn0015393	FBgn0286786	hoip
FBgn0003462	FBgn0003462	Sod1
FBgn0036728	FBgn0036728	UQCR-Q
FBgn0027583	FBgn0027583	CG7601
FBgn0050035	FBgn0050035	Tret1-1
FBgn0041181	FBgn0041181	Tep3
FBgn0037147	FBgn0037147	CG7140
FBgn0283510	FBgn0283510	Pal1
FBgn0051874	FBgn0051874	Fum4
FBgn0038830	FBgn0038830	CG17272
FBgn0035424	FBgn0035424	Larp4B
FBgn0033706	FBgn0033706	Vha36-2
FBgn0040078	FBgn0040078	pont
FBgn0034471	FBgn0034471	Obp56e
FBgn0033574	FBgn0033574	Spn47C
FBgn0036211	FBgn0036211	CG5946
FBgn0037199	FBgn0037199	EMC4
FBgn0031453	FBgn0031453	Bacc
FBgn0262124	FBgn0262124	uex
FBgn0034693	FBgn0034693	CG11073
FBgn0033028	FBgn0033028	hrm
FBgn0259111	FBgn0259111	Ndae1
FBgn0027657	FBgn0027657	glob1
FBgn0034741	FBgn0034741	CG4269
FBgn0051548	FBgn0051548	CG31548
FBgn0027590	FBgn0027590	GstE12
FBgn0010591	FBgn0010591	Sply
FBgn0267790	FBgn0267790	rump
FBgn0022893	FBgn0022893	Df31
FBgn0030525	FBgn0030525	CG10996
FBgn0261058	FBgn0261058	Sfp38D
FBgn0039789	FBgn0039789	CG9717
FBgn0029897	FBgn0029897	RpL17
FBgn0003261	FBgn0003261	Rm62
FBgn0029863	FBgn0029863	CG3823
FBgn0083943	FBgn0083943	CG34107
FBgn0031436	FBgn0031436	ND-B17.2
FBgn0028691	FBgn0028691	Rpn9
FBgn0040234	FBgn0040234	c12.2
FBgn0033644	FBgn0033644	Tret1-2
FBgn0060296	FBgn0060296	pain
FBgn0020626	FBgn0020626	Osbp
FBgn0013576	FBgn0013576	mtd
FBgn0031409	FBgn0031409	CG4271
FBgn0012051	FBgn0012051	CalpA
FBgn0030245	FBgn0030245	CG1637
FBgn0028560	FBgn0028560	sut4
FBgn0266720	FBgn0266720	Snap24
FBgn0265785	FBgn0265785	CG44574
FBgn0050493	FBgn0050493	Coq9
FBgn0030318	FBgn0030318	rho-4
FBgn0039043	FBgn0039043	CG17121
FBgn0036623	FBgn0036623	Agpat3
FBgn0014020	FBgn0014020	Rho1
FBgn0014010	FBgn0014010	Rab5
FBgn0033387	FBgn0033387	CG8008
FBgn0036099	FBgn0036099	CG11811
FBgn0044419	FBgn0044419	Pmi
FBgn0038217	FBgn0038217	CG14840
FBgn0037530	FBgn0037530	EMC1
FBgn0030854	FBgn0030854	CG8289
FBgn0038947	FBgn0038947	Sar1
FBgn0265191	FBgn0265191	Gyg
FBgn0037059	FBgn0037059	CG10510
FBgn0028694	FBgn0028694	Rpn11
FBgn0263396	FBgn0263396	sqd
FBgn0021944	FBgn0021944	Coprox
FBgn0043456	FBgn0043456	Ndf
FBgn0039686	FBgn0039686	CG15506
FBgn0038810	FBgn0038810	Srp72
FBgn0024957	FBgn0024957	Irp-1B
FBgn0263740	FBgn0263740	eIF2gamma
FBgn0029969	FBgn0029969	CG10932
FBgn0035069	FBgn0035069	CG3611
FBgn0032987	FBgn0032987	RpL21
FBgn0000721	FBgn0000721	for
FBgn0028697	FBgn0028697	RpL15
FBgn0000565	FBgn0000565	MsrA
FBgn0026181	FBgn0026181	Rok
FBgn0022361	FBgn0022361	Pur-alpha
FBgn0033428	FBgn0033428	Urod
FBgn0262359	FBgn0262359	CG43057
FBgn0050042	FBgn0050042	Cpr49Ab
FBgn0039359	FBgn0039359	RpL27
FBgn0263033	FBgn0263033	CG43328
FBgn0039576	FBgn0039576	UQCR-14L
FBgn0036224	FBgn0036224	Rpt4R
FBgn0039555	FBgn0039555	mRpS22
FBgn0250848	FBgn0250848	26-29-p
FBgn0030734	FBgn0030734	CG9911
FBgn0030151	FBgn0030151	CG1354
FBgn0038020	FBgn0038020	GstD9
FBgn0030007	FBgn0030007	alpha-PheRS
FBgn0051546	FBgn0051546	CG31546
FBgn0012034	FBgn0012034	AcCoAS
FBgn0011745	FBgn0011745	Arp1
FBgn0085228	FBgn0085228	CG34199
FBgn0010638	FBgn0010638	Sec61beta
FBgn0265512	FBgn0265512	mlt
FBgn0032538	FBgn0032538	Vajk2
FBgn0027844	FBgn0027844	CAH1
FBgn0034971	FBgn0034971	Gpat4
FBgn0037779	FBgn0037779	CG12811
FBgn0029095	FBgn0029095	aru
FBgn0039244	FBgn0039244	CG11069
FBgn0034075	FBgn0034075	Asph
FBgn0039599	FBgn0039599	intr
FBgn0026084	FBgn0026084	cib
FBgn0033268	FBgn0033268	Obp44a
FBgn0030004	FBgn0030004	CG10958
FBgn0260003	FBgn0260003	Dys
FBgn0039156	FBgn0039156	CG6178
FBgn0003607	FBgn0003607	Su(var)205
FBgn0031784	FBgn0031784	CG9222
FBgn0031374	FBgn0031374	Wdr62
FBgn0017572	FBgn0017572	Mo25
FBgn0064119	FBgn0064119	CG33934
FBgn0027081	FBgn0027081	ThrRS
FBgn0027280	FBgn0027280	l(1)G0193
FBgn0035299	FBgn0035299	CG11815
FBgn0019936	FBgn0019936	RpS20
FBgn0264693	FBgn0264693	ens
FBgn0032505	FBgn0032505	CG16826
FBgn0033760	FBgn0033760	CG8785
FBgn0003328	FBgn0286785	scb
FBgn0085328	FBgn0085328	CG34299
FBgn0038519	FBgn0038519	Prx3
FBgn0265356	FBgn0265356	tn
FBgn0000259	FBgn0000259	CkIIbeta
FBgn0032648	FBgn0032648	CG15144
FBgn0013675	FBgn0013675	mt:CoII
FBgn0042175	FBgn0042175	CG18858
FBgn0000416	FBgn0000416	Sap-r
FBgn0085285	FBgn0085285	CG34256
FBgn0010215	FBgn0010215	alpha-Cat
FBgn0034345	FBgn0034345	CG5174
FBgn0015794	FBgn0015794	Rab18
FBgn0262512	FBgn0262512	Vha14-1
FBgn0015776	FBgn0015776	nrv1
FBgn0031746	FBgn0031746	CG9029
FBgn0033856	FBgn0033856	CG13334
FBgn0264607	FBgn0264607	CaMKII
FBgn0031925	FBgn0031925	Cyp4d21
FBgn0037191	FBgn0037191	CG14448
FBgn0261529	FBgn0261529	ms(2)34Fe
FBgn0029676	FBgn0029676	HIP-R
FBgn0016700	FBgn0285937	Rab1
FBgn0027528	FBgn0027528	goe
FBgn0038659	FBgn0038659	EndoA
FBgn0038805	FBgn0038805	TFAM
FBgn0036648	FBgn0036648	CG4098
FBgn0035947	FBgn0035947	Srp68
FBgn0028990	FBgn0028990	Spn27A
FBgn0261599	FBgn0261599	RpS29
FBgn0036365	FBgn0036365	cmb
FBgn0263852	FBgn0263852	Dad1
FBgn0032229	FBgn0032229	ClpP
FBgn0051533	FBgn0051533	CG31533
FBgn0032478	FBgn0032478	Rsph1
FBgn0032358	FBgn0032358	Ppt2
FBgn0010620	FBgn0010620	CG10939
FBgn0034406	FBgn0034406	Jheh3
FBgn0032393	FBgn0032393	Nfs1
FBgn0262732	FBgn0262732	mbf1
FBgn0014032	FBgn0014032	Sptr
FBgn0037979	FBgn0037979	GCC185
FBgn0030306	FBgn0030306	Spase25
FBgn0005536	FBgn0005536	Mbs
FBgn0032679	FBgn0284256	bsf
FBgn0032109	FBgn0032109	CG17005
FBgn0051681	FBgn0051681	CG31681
FBgn0030195	FBgn0030195	CG2898
FBgn0042182	FBgn0042182	CG18749
FBgn0038355	FBgn0038355	CG4520
FBgn0036726	FBgn0036726	QIL1
FBgn0050147	FBgn0050147	Hil
FBgn0033631	FBgn0033631	Sod3
FBgn0259957	FBgn0259957	CG42467
FBgn0267689	FBgn0267689	CG46025
FBgn0052412	FBgn0052412	QC
FBgn0264911	FBgn0264911	CG44102
FBgn0034401	FBgn0034401	MetRS
FBgn0261020	FBgn0261020	wol
FBgn0037756	FBgn0037756	CG8507
FBgn0034505	FBgn0034505	CG16739
FBgn0015797	FBgn0015797	Rab6
FBgn0030944	FBgn0030944	CG6617
FBgn0008635	FBgn0008635	betaCOP
FBgn0037686	FBgn0037686	RpL34b
FBgn0038337	FBgn0038337	CG6125
FBgn0028833	FBgn0028833	Cmpk
FBgn0034066	FBgn0034066	EMC7
FBgn0022359	FBgn0022359	Sodh-2
FBgn0030586	FBgn0030586	CG12539
FBgn0024733	FBgn0024733	RpL10
FBgn0033669	FBgn0033669	PI31
FBgn0261873	FBgn0261873	sdt
FBgn0259959	FBgn0259959	Sfp26Ac
FBgn0028669	FBgn0028669	Vha100-3
FBgn0263995	FBgn0263995	cpo
FBgn0031708	FBgn0031708	CG7382
FBgn0040376	FBgn0040376	AANATL7
FBgn0033731	FBgn0033731	Cpr49Ah
FBgn0011361	FBgn0011361	ND-ACP
FBgn0053490	FBgn0053490	CG33490
FBgn0038697	FBgn0038697	CG3581
FBgn0067864	FBgn0067864	Patj
FBgn0054051	FBgn0054051	CG34051
FBgn0062517	FBgn0062517	CG16984
FBgn0033717	FBgn0033717	CG8839
FBgn0027610	FBgn0027610	Dic1
FBgn0021906	FBgn0021906	RFeSP
FBgn0036805	FBgn0036805	Chmp1
FBgn0052816	FBgn0052816	CG32816
FBgn0050362	FBgn0050362	boly
FBgn0050344	FBgn0050344	CG30344
FBgn0030300	FBgn0030300	Sk1
FBgn0031407	FBgn0031407	CG4270
FBgn0011787	FBgn0011787	mRpL12
FBgn0050350	FBgn0050350	CG30350
FBgn0032006	FBgn0032006	Pvr
FBgn0001108	FBgn0001108	DCTN1-p150
FBgn0026563	FBgn0026563	CG1979
FBgn0000053	FBgn0000053	Gart
FBgn0027341	FBgn0287209	Gfat1
FBgn0085486	FBgn0085486	CG34457
FBgn0024989	FBgn0024989	CG3777
FBgn0261353	FBgn0261353	Ccdc56
FBgn0260934	FBgn0260934	par-1
FBgn0020643	FBgn0020643	Lcp65Ab2
FBgn0011726	FBgn0011726	tsr
FBgn0032029	FBgn0032029	CG17292
FBgn0037261	FBgn0037261	CG9775
