"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	" Peptides"	" PSMs"	" Unique Peptides"	" AAs"	"MW [kDa]"	"calc. pI"	"Score Mascot: A5 Mascot"	" Peptides (by Search Engine): A5 Mascot"	" Razor Peptides"	"Abundances (Grouped): F1"	"Abundances (Grouped) CV [%]: F1"	"Abundance: F1: 126, Sample, control, 1"	"Abundance: F1: 127, Sample, control, 2"	"Abundance: F1: 128, Sample, control, 3"	"Abundance: F1: 129, Sample, no_glands, 1"	"Abundance: F1: 130, Sample, no_glands, 2"	"Abundance: F1: 131, Sample, no_glands, 3"	" Protein Groups"
"-4155367153969888648"	"False"	"High"	"IsMasterProtein"	"cRAP039"	"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6"	"0.000"	"256.501"	"56"	"32"	"160"	"26"	"584"	"58.8"	"5.21"	"3739"	"32"	"11"	"18852.2"	"16.75"	"13104.5"	"18968.8"	"20771.1"	"21458.8"	"16541.8"	"18736.2"	"1"
"-7669885482047266745"	"False"	"High"	"IsMasterProtein"	"FBgn0267911"	"FBgn0267911"	"0.000"	"253.033"	"17"	"67"	"99"	"67"	"4479"	"496.6"	"4.87"	"2695"	"67"	"0"	"5859.7"	"94.53"	"2987.2"	"1666.6"	"1336.9"	"22776.8"	"15960.5"	"11494.5"	"1"
"9145810862576030612"	"False"	"High"	"IsMasterProtein"	"FBgn0004181"	"FBgn0004181"	"0.000"	"239.296"	"37"	"17"	"673"	"17"	"377"	"37.8"	"9.70"	"12019"	"17"	"0"	"84968.4"	"19.75"	"83327.6"	"84237.8"	"71174.9"	"117152.1"	"85705.3"	"112567.0"	"1"
"-4782767167395929853"	"False"	"High"	"IsMasterProtein"	"FBgn0250788"	"FBgn0250788"	"0.000"	"230.708"	"31"	"67"	"92"	"66"	"2308"	"267.5"	"5.33"	"1890"	"67"	"1"	"7017.7"	"97.86"	"2895.4"	"2032.1"	"1513.6"	"29809.4"	"17009.4"	"17300.5"	"1"
"8424809574509476570"	"False"	"High"	"IsMasterProtein"	"FBgn0260745"	"FBgn0260745"	"0.000"	"215.614"	"50"	"38"	"141"	"38"	"905"	"100.2"	"5.54"	"2626"	"38"	"0"	"21943.8"	"30.44"	"33130.0"	"20977.0"	"27810.1"	"21376.7"	"12367.5"	"22525.8"	"1"
"8762252520887552015"	"False"	"High"	"IsMasterProtein"	"FBgn0003149"	"FBgn0003149"	"0.000"	"209.281"	"58"	"48"	"91"	"48"	"879"	"102.3"	"5.58"	"2220"	"48"	"0"	"6509.1"	"85.26"	"3083.7"	"2625.3"	"2407.9"	"22632.8"	"15944.7"	"13739.4"	"1"
"-6667434168709730499"	"False"	"High"	"IsMasterProtein"	"FBgn0052311"	"FBgn0052311"	"0.000"	"196.483"	"19"	"59"	"69"	"59"	"3664"	"412.6"	"6.46"	"1582"	"59"	"0"	"4253.7"	"85.88"	"1797.7"	"1592.5"	"1438.9"	"14320.4"	"10860.3"	"10064.7"	"1"
"-9215763108341004907"	"False"	"High"	"IsMasterProtein"	"FBgn0002855"	"FBgn0002855"	"0.000"	"181.194"	"59"	"22"	"137"	"22"	"264"	"29.6"	"8.84"	"3210"	"22"	"0"	"13488.6"	"20.20"	"12442.6"	"11586.9"	"13313.6"	"19633.9"	"13909.4"	"13666.0"	"1"
"-402029898355466109"	"False"	"High"	"IsMasterProtein"	"FBgn0043825"	"FBgn0043825"	"0.000"	"164.698"	"40"	"15"	"157"	"3"	"457"	"51.4"	"7.49"	"3834"	"15"	"0"	"3666.8"	"28.18"	"3777.6"	"5019.8"	"2711.4"	"5359.0"	"2869.4"	"3559.2"	"1"
"1043606570779249253"	"False"	"High"	"IsMasterProtein"	"FBgn0085446"	"FBgn0085446"	"0.000"	"164.347"	"13"	"54"	"62"	"54"	"5182"	"579.9"	"9.04"	"1203"	"54"	"0"	"2937.8"	"98.22"	"1139.3"	"1070.5"	"495.4"	"13159.9"	"7575.5"	"8023.8"	"1"
"-2234340320949285060"	"False"	"High"	"IsMasterProtein"	"FBgn0000046"	"FBgn0000046"	"0.000"	"161.123"	"55"	"18"	"180"	"2"	"376"	"41.8"	"5.48"	"4010"	"18"	"0"	"2092.6"	"86.80"	"844.9"	"613.3"	"600.8"	"6178.8"	"5884.5"	"5182.4"	"1"
"-6858373613491336051"	"False"	"High"	"IsMasterProtein"	"FBgn0000044"	"FBgn0000044"	"0.000"	"154.067"	"57"	"19"	"173"	"3"	"376"	"41.8"	"5.39"	"3911"	"19"	"29"	"17954.5"	"81.54"	"8548.2"	"7834.6"	"8732.5"	"60618.8"	"46606.3"	"36915.2"	"1"
"4534937170690347231"	"False"	"High"	"IsMasterProtein"	"FBgn0035612"	"FBgn0035612"	"0.000"	"153.534"	"30"	"25"	"74"	"25"	"1180"	"121.0"	"6.99"	"2685"	"25"	"0"	"2997.9"	"109.03"	"506.2"	"982.5"	"497.8"	"17951.8"	"9147.2"	"10097.2"	"1"
"-8411378086259699163"	"False"	"High"	"IsMasterProtein"	"FBgn0003884"	"FBgn0003884"	"0.000"	"153.356"	"53"	"20"	"111"	"20"	"450"	"49.9"	"5.14"	"2392"	"20"	"0"	"13968.8"	"23.54"	"13588.1"	"10735.9"	"14360.2"	"18617.3"	"10429.4"	"17283.0"	"1"
"5695235177912809422"	"False"	"High"	"IsMasterProtein"	"FBgn0000667"	"FBgn0000667"	"0.000"	"134.598"	"46"	"35"	"47"	"35"	"917"	"106.3"	"5.69"	"1177"	"35"	"0"	"4668.3"	"85.17"	"2002.2"	"1909.7"	"1899.0"	"16272.6"	"13776.8"	"10884.8"	"1"
"-4692336808299215550"	"False"	"High"	"IsMasterProtein"	"FBgn0000042"	"FBgn0000042"	"0.000"	"131.699"	"50"	"17"	"165"	"4"	"376"	"41.8"	"5.48"	"3722"	"17"	"0"	"560.4"	"46.67"	"453.0"	"353.3"	"392.4"	"1120.9"	"815.2"	"693.2"	"1"
"-7095023142730971540"	"False"	"High"	"IsMasterProtein"	"FBgn0050395"	"FBgn0050395"	"0.000"	"129.890"	"29"	"21"	"94"	"21"	"906"	"97.7"	"4.75"	"1118"	"21"	"0"	"16392.1"	"35.46"	"22050.2"	"22118.7"	"20557.3"	"13070.9"	"9988.9"	"10510.9"	"1"
"863738744328846359"	"False"	"High"	"IsMasterProtein"	"FBgn0053519"	"FBgn0053519"	"0.000"	"122.297"	"10"	"37"	"37"	"37"	"4218"	"475.4"	"5.85"	"913"	"37"	"0"	"1979.3"	"86.25"	"860.2"	"751.3"	"738.6"	"6972.2"	"5262.3"	"4554.2"	"1"
"-7554376422453589463"	"False"	"High"	"IsMasterProtein"	"FBgn0028986"	"FBgn0028986"	"0.000"	"121.768"	"59"	"20"	"71"	"20"	"372"	"41.7"	"8.25"	"1273"	"20"	"0"	"15101.1"	"20.86"	"17134.6"	"18541.6"	"15702.7"	"14522.5"	"10684.6"	"11665.2"	"1"
"-1423478805790809515"	"False"	"High"	"IsMasterProtein"	"FBgn0002526"	"FBgn0002526"	"0.000"	"120.877"	"12"	"40"	"42"	"40"	"3712"	"410.9"	"5.22"	"869"	"40"	"0"	"3222.0"	"86.71"	"1739.4"	"1053.9"	"960.8"	"10662.9"	"8079.3"	"5968.3"	"1"
"-968858512056062632"	"False"	"High"	"IsMasterProtein"	"FBgn0010217"	"FBgn0010217"	"0.000"	"120.737"	"65"	"22"	"63"	"19"	"511"	"54.6"	"5.27"	"1480"	"22"	"3"	"6074.5"	"73.95"	"3396.8"	"2487.4"	"2605.6"	"16194.8"	"10863.0"	"11339.7"	"1"
"5451561615981079757"	"False"	"High"	"IsMasterProtein"	"FBgn0035240"	"FBgn0035240"	"0.000"	"120.619"	"26"	"29"	"42"	"28"	"1282"	"142.9"	"9.20"	"716"	"29"	"1"	"7188.2"	"25.86"	"6976.7"	"5638.9"	"7406.2"	"7511.4"	"3332.0"	"7424.0"	"1"
"33909038723383188"	"False"	"High"	"IsMasterProtein"	"FBgn0031545"	"FBgn0031545"	"0.000"	"120.271"	"38"	"27"	"51"	"27"	"676"	"76.4"	"5.31"	"1260"	"27"	"0"	"7267.1"	"26.74"	"7174.9"	"5686.2"	"7360.4"	"7813.0"	"3297.9"	"7606.4"	"1"
"-4636857868199596263"	"False"	"High"	"IsMasterProtein"	"FBgn0015586"	"FBgn0015586"	"0.000"	"118.655"	"49"	"18"	"75"	"18"	"388"	"44.2"	"8.09"	"2291"	"18"	"0"	"10857.8"	"67.02"	"19465.5"	"19589.9"	"24454.2"	"6056.5"	"4019.4"	"5950.3"	"1"
"-1366335514731403763"	"False"	"High"	"IsMasterProtein"	"FBgn0038373"	"FBgn0038373"	"0.000"	"116.898"	"47"	"20"	"44"	"20"	"457"	"52.1"	"4.87"	"1014"	"20"	"0"	"3233.1"	"25.34"	"3144.2"	"2547.8"	"3331.5"	"3324.6"	"1541.0"	"3426.4"	"1"
"2039120299616604698"	"False"	"High"	"IsMasterProtein"	"FBgn0260442"	"FBgn0260442"	"0.000"	"111.346"	"15"	"35"	"36"	"35"	"2836"	"306.8"	"6.21"	"785"	"35"	"0"	"2226.2"	"89.26"	"1005.9"	"773.0"	"650.5"	"8041.3"	"5800.4"	"4926.7"	"1"
"-8120174262915374975"	"False"	"High"	"IsMasterProtein"	"FBgn0034512"	"FBgn0034512"	"0.000"	"109.724"	"57"	"11"	"56"	"11"	"245"	"26.2"	"5.29"	"1385"	"11"	"0"	"11125.4"	"29.35"	"14575.4"	"9445.9"	"13972.2"	"10980.9"	"5713.7"	"11271.8"	"1"
"5774255196549323132"	"False"	"High"	"IsMasterProtein"	"FBgn0263598"	"FBgn0263598"	"0.000"	"104.033"	"51"	"27"	"47"	"17"	"614"	"68.3"	"5.34"	"889"	"27"	"14"	"4642.7"	"81.05"	"2912.6"	"1753.4"	"1740.0"	"14227.3"	"8394.6"	"7400.6"	"1"
"-4274789239340186679"	"False"	"High"	"IsMasterProtein"	"FBgn0010397"	"FBgn0010397"	"0.000"	"103.213"	"45"	"30"	"44"	"30"	"640"	"72.1"	"6.67"	"1104"	"30"	"0"	"3314.5"	"96.39"	"1367.4"	"1228.8"	"657.9"	"14219.8"	"8034.2"	"8775.5"	"1"
"-8305789299698347399"	"False"	"High"	"IsMasterProtein"	"FBgn0003889"	"FBgn0003889"	"0.000"	"103.083"	"45"	"18"	"58"	"7"	"446"	"49.8"	"4.83"	"1159"	"18"	"17"	"12401.7"	"26.48"	"11717.4"	"9914.3"	"13126.0"	"16169.3"	"7654.9"	"15491.8"	"1"
"6117801636722276776"	"False"	"High"	"IsMasterProtein"	"FBgn0039071"	"FBgn0039071"	"0.000"	"102.636"	"38"	"20"	"48"	"20"	"535"	"59.9"	"8.56"	"894"	"20"	"0"	"7738.7"	"27.02"	"7359.4"	"6029.8"	"8214.0"	"8137.5"	"3512.6"	"8216.3"	"1"
"-4727391266628157469"	"False"	"High"	"IsMasterProtein"	"FBgn0002856"	"FBgn0002856"	"0.000"	"101.801"	"56"	"5"	"73"	"5"	"90"	"10.2"	"4.94"	"1847"	"5"	"0"	"8534.6"	"10.65"	"9206.7"	"7270.7"	"8630.6"	"9176.6"	"7224.2"	"8439.6"	"1"
"-6892225066865270417"	"False"	"High"	"IsMasterProtein"	"FBgn0265434"	"FBgn0265434"	"0.000"	"100.175"	"16"	"29"	"31"	"29"	"2056"	"236.5"	"5.62"	"617"	"29"	"0"	"1976.7"	"53.45"	"1427.7"	"1052.8"	"1126.8"	"3959.0"	"2837.8"	"2736.9"	"1"
"-5247427278828501994"	"False"	"High"	"IsMasterProtein"	"FBgn0267433"	"FBgn0267433"	"0.000"	"99.588"	"8"	"40"	"43"	"40"	"4559"	"525.9"	"5.76"	"773"	"40"	"0"	"4182.8"	"25.89"	"4071.9"	"3521.4"	"4544.2"	"4636.9"	"1981.7"	"4296.9"	"1"
"-9106548203436693101"	"False"	"High"	"IsMasterProtein"	"FBgn0264975"	"FBgn0264975"	"0.000"	"99.356"	"26"	"28"	"36"	"28"	"1309"	"145.4"	"5.55"	"768"	"28"	"0"	"2794.1"	"92.95"	"1250.9"	"1038.5"	"735.5"	"11015.0"	"6241.4"	"6548.0"	"1"
"3652537806796959733"	"False"	"High"	"IsMasterProtein"	"FBgn0039479"	"FBgn0039479"	"0.000"	"98.197"	"32"	"12"	"40"	"12"	"547"	"57.6"	"8.10"	"1191"	"12"	"0"	"2771.8"	"103.84"	"364.4"	"1001.3"	"348.6"	"12908.2"	"7672.5"	"8104.9"	"1"
"2417428855255184182"	"False"	"High"	"IsMasterProtein"	"FBgn0250847"	"FBgn0250847"	"0.000"	"97.727"	"43"	"13"	"82"	"13"	"338"	"38.1"	"6.62"	"1141"	"13"	"0"	"18090.7"	"44.75"	"27840.1"	"24487.6"	"24127.1"	"13564.6"	"9058.9"	"10408.6"	"1"
"-378340387522454741"	"False"	"High"	"IsMasterProtein"	"FBgn0010434"	"FBgn0010434"	"0.000"	"96.094"	"24"	"30"	"33"	"30"	"1698"	"184.1"	"8.70"	"599"	"30"	"0"	"3014.6"	"82.08"	"1365.6"	"1411.9"	"962.1"	"9440.9"	"6689.7"	"6436.4"	"1"
"1834445411134909983"	"False"	"High"	"IsMasterProtein"	"FBgn0052064"	"FBgn0052064"	"0.000"	"94.965"	"47"	"20"	"53"	"19"	"524"	"57.5"	"8.10"	"1326"	"20"	"2"	"7498.6"	"27.80"	"7153.3"	"5917.4"	"7945.7"	"7860.6"	"3228.0"	"7881.0"	"1"
"-2597867517024228711"	"False"	"High"	"IsMasterProtein"	"FBgn0004167"	"FBgn0004167"	"0.000"	"93.967"	"8"	"32"	"32"	"31"	"4337"	"497.2"	"6.47"	"636"	"32"	"0"	"1067.2"	"76.07"	"620.5"	"552.9"	"503.6"	"3299.8"	"2056.9"	"1835.4"	"1"
"404767881212778258"	"False"	"High"	"IsMasterProtein"	"FBgn0038918"	"FBgn0038918"	"0.000"	"93.223"	"50"	"23"	"55"	"23"	"562"	"64.8"	"8.13"	"820"	"23"	"0"	"13113.9"	"23.98"	"17075.0"	"13500.5"	"16558.2"	"12738.3"	"8896.2"	"10847.4"	"1"
"2068209806541318207"	"False"	"High"	"IsMasterProtein"	"FBgn0087002"	"FBgn0087002"	"0.000"	"91.892"	"10"	"30"	"36"	"30"	"3351"	"372.4"	"7.97"	"681"	"30"	"0"	"2443.5"	"52.95"	"2625.6"	"1886.2"	"2167.5"	"4937.8"	"2274.0"	"6163.6"	"1"
"8170287303459575218"	"False"	"High"	"IsMasterProtein"	"FBgn0040098"	"FBgn0040098"	"0.000"	"91.262"	"51"	"14"	"59"	"14"	"236"	"28.0"	"8.47"	"1004"	"14"	"0"	"12661.9"	"23.43"	"16661.7"	"12163.4"	"13180.9"	"13203.1"	"7788.1"	"11256.1"	"1"
"1454047107779908940"	"False"	"High"	"IsMasterProtein"	"FBgn0034474"	"FBgn0034474"	"0.000"	"89.484"	"50"	"8"	"146"	"8"	"132"	"14.1"	"6.54"	"2198"	"8"	"0"	"33057.5"	"16.98"	"28361.0"	"29755.2"	"27360.4"	"41158.4"	"36726.2"	"37223.7"	"1"
"508676023937191605"	"False"	"High"	"IsMasterProtein"	"FBgn0011722"	"FBgn0011722"	"0.000"	"88.903"	"15"	"29"	"30"	"29"	"2188"	"257.3"	"5.96"	"655"	"29"	"0"	"1281.8"	"84.26"	"679.4"	"465.8"	"407.2"	"4092.4"	"3119.2"	"2418.3"	"1"
"5524989376817611279"	"False"	"High"	"IsMasterProtein"	"FBgn0263006"	"FBgn0263006"	"0.000"	"88.223"	"26"	"26"	"40"	"26"	"1020"	"111.6"	"5.41"	"728"	"26"	"0"	"4355.0"	"88.05"	"1865.3"	"1711.5"	"1739.4"	"16651.5"	"11453.6"	"10167.6"	"1"
"6853113030702715127"	"False"	"High"	"IsMasterProtein"	"FBgn0261439"	"FBgn0261439"	"0.000"	"87.700"	"35"	"18"	"32"	"18"	"661"	"72.3"	"7.12"	"759"	"18"	"0"	"3071.7"	"41.69"	"2668.2"	"2120.1"	"2508.7"	"6087.0"	"3536.2"	"4220.5"	"1"
"-12339586124220199"	"False"	"High"	"IsMasterProtein"	"FBgn0050069"	"FBgn0050069"	"0.000"	"87.009"	"20"	"26"	"31"	"26"	"4012"	"460.7"	"8.35"	"647"	"26"	"0"	"1312.8"	"97.79"	"515.7"	"456.3"	"279.5"	"5978.7"	"3341.7"	"3848.5"	"1"
"-5902447319298004730"	"False"	"High"	"IsMasterProtein"	"FBgn0032868"	"FBgn0032868"	"0.000"	"86.673"	"49"	"13"	"148"	"13"	"159"	"18.9"	"9.16"	"2300"	"13"	"0"	"28317.9"	"11.57"	"28328.0"	"28307.8"	"28452.4"	"29727.6"	"22167.4"	"23546.8"	"1"
"3602433812413913986"	"False"	"High"	"IsMasterProtein"	"FBgn0267348"	"FBgn0267348"	"0.000"	"84.467"	"16"	"25"	"28"	"25"	"1639"	"182.2"	"5.38"	"697"	"25"	"0"	"2036.9"	"82.96"	"1134.3"	"789.7"	"749.3"	"6549.3"	"5140.4"	"3657.9"	"1"
"-3603304588720223209"	"False"	"High"	"IsMasterProtein"	"FBgn0003887"	"FBgn0003887"	"0.000"	"84.466"	"34"	"15"	"43"	"3"	"456"	"51.3"	"5.01"	"850"	"15"	"1"	"1613.5"	"51.56"	"1169.5"	"828.5"	"1069.4"	"3176.4"	"2226.2"	"2512.4"	"1"
"5393252923215811891"	"False"	"High"	"IsMasterProtein"	"FBgn0011211"	"FBgn0011211"	"0.000"	"84.129"	"39"	"25"	"48"	"25"	"552"	"59.4"	"9.01"	"862"	"25"	"0"	"9680.6"	"66.79"	"6003.3"	"4322.1"	"4918.6"	"23550.3"	"15610.6"	"16072.2"	"1"
"-7293518379766099342"	"False"	"High"	"IsMasterProtein"	"FBgn0034860"	"FBgn0034860"	"0.000"	"83.521"	"52"	"11"	"45"	"11"	"332"	"34.5"	"9.31"	"1009"	"11"	"0"	"1377.9"	"100.66"	"351.8"	"471.9"	"386.0"	"7220.7"	"4023.3"	"5371.9"	"1"
"-4137666002023082164"	"False"	"High"	"IsMasterProtein"	"cRAP112"	"Trypsin OS=Sus scrofa PE=1 SV=1"	"0.000"	"83.119"	"35"	"6"	"107"	"6"	"231"	"24.4"	"7.18"	"2401"	"6"	"0"	"9273.9"	"5.45"	"8902.3"	"9823.2"	"8879.1"	"10153.8"	"9206.6"	"9341.8"	"1"
"-9114930761291071405"	"False"	"High"	"IsMasterProtein"	"FBgn0267432"	"FBgn0267432"	"0.000"	"82.725"	"7"	"34"	"35"	"34"	"4593"	"531.7"	"6.07"	"661"	"34"	"0"	"2813.0"	"25.19"	"2748.9"	"2351.6"	"2956.7"	"3086.7"	"1348.7"	"2878.5"	"1"
"-3618381326466327367"	"False"	"High"	"IsMasterProtein"	"FBgn0036837"	"FBgn0036837"	"0.000"	"81.865"	"30"	"23"	"41"	"23"	"770"	"86.7"	"7.44"	"694"	"23"	"0"	"7858.4"	"45.31"	"4830.9"	"13077.9"	"3413.0"	"9070.8"	"10117.4"	"6808.1"	"1"
"766832878431281449"	"False"	"High"	"IsMasterProtein"	"FBgn0266599"	"FBgn0266599"	"0.000"	"81.544"	"32"	"20"	"34"	"14"	"651"	"71.1"	"5.52"	"773"	"20"	"7"	"6920.3"	"51.33"	"6223.1"	"2974.2"	"3093.4"	"11870.0"	"9564.8"	"7695.7"	"1"
"-2182106557222241253"	"False"	"High"	"IsMasterProtein"	"FBgn0004117"	"FBgn0004117"	"0.000"	"81.499"	"62"	"22"	"46"	"21"	"284"	"32.8"	"4.79"	"783"	"22"	"2"	"3882.5"	"90.19"	"1778.6"	"1566.5"	"1389.9"	"13819.0"	"14782.0"	"8475.0"	"1"
"8122709155082671366"	"False"	"High"	"IsMasterProtein"	"FBgn0028988"	"FBgn0028988"	"0.000"	"80.782"	"53"	"16"	"39"	"16"	"372"	"41.2"	"5.63"	"780"	"16"	"0"	"5414.7"	"28.35"	"7866.4"	"6146.1"	"6839.8"	"4770.4"	"3786.6"	"4286.7"	"1"
"2670147297376898891"	"False"	"High"	"IsMasterProtein"	"FBgn0051680"	"FBgn0051680"	"0.000"	"80.236"	"57"	"10"	"87"	"10"	"147"	"17.4"	"8.43"	"1320"	"10"	"0"	"12860.8"	"17.16"	"14253.5"	"13241.9"	"13139.3"	"12588.2"	"8374.3"	"11319.3"	"1"
"2712644583142171327"	"False"	"High"	"IsMasterProtein"	"FBgn0028987"	"FBgn0028987"	"0.000"	"79.988"	"46"	"17"	"39"	"17"	"375"	"42.5"	"9.01"	"532"	"17"	"0"	"5789.4"	"21.29"	"6746.9"	"7427.8"	"6350.2"	"5278.1"	"4254.6"	"4745.4"	"1"
"6517899959834822426"	"False"	"High"	"IsMasterProtein"	"FBgn0020765"	"FBgn0020765"	"0.000"	"79.476"	"56"	"4"	"41"	"4"	"105"	"11.3"	"4.54"	"1302"	"4"	"0"	"2719.0"	"92.27"	"456.3"	"1650.9"	"454.6"	"8664.3"	"4478.2"	"6215.7"	"1"
"2961521309397606752"	"False"	"High"	"IsMasterProtein"	"FBgn0259795"	"FBgn0259795"	"0.000"	"79.302"	"33"	"11"	"51"	"10"	"526"	"56.7"	"8.87"	"1766"	"11"	"0"	"4499.6"	"27.85"	"4415.7"	"3665.5"	"4585.2"	"5019.8"	"1993.0"	"4953.4"	"1"
"-1964308134692578829"	"False"	"High"	"IsMasterProtein"	"FBgn0036186"	"FBgn0036186"	"0.000"	"79.026"	"25"	"23"	"33"	"23"	"962"	"109.5"	"6.43"	"680"	"23"	"0"	"4490.2"	"18.32"	"5188.9"	"4771.4"	"4602.9"	"4380.2"	"3054.6"	"3660.3"	"1"
"4798336286587410719"	"False"	"High"	"IsMasterProtein"	"FBgn0014002"	"FBgn0014002"	"0.000"	"78.972"	"44"	"22"	"31"	"22"	"496"	"55.7"	"4.82"	"663"	"22"	"0"	"5836.1"	"28.37"	"6688.8"	"3893.6"	"5092.1"	"8448.4"	"7504.3"	"4977.1"	"1"
"2135847644525149074"	"False"	"High"	"IsMasterProtein"	"FBgn0000116"	"FBgn0000116"	"0.000"	"78.651"	"36"	"20"	"29"	"20"	"562"	"61.2"	"7.49"	"542"	"20"	"0"	"5226.1"	"53.48"	"4466.4"	"2766.7"	"3358.8"	"11303.5"	"7235.5"	"6115.0"	"1"
"3275309353492052660"	"False"	"High"	"IsMasterProtein"	"FBgn0053470"	"FBgn0053470"	"0.000"	"77.957"	"59"	"11"	"38"	"11"	"257"	"28.0"	"10.78"	"964"	"11"	"0"	"2541.0"	"27.33"	"2336.8"	"2704.8"	"4287.8"	"3084.2"	"2227.8"	"2387.1"	"1"
"6601173582917402714"	"False"	"High"	"IsMasterProtein"	"FBgn0033868"	"FBgn0033868"	"0.000"	"77.623"	"38"	"15"	"48"	"13"	"527"	"57.4"	"8.40"	"1163"	"15"	"1"	"5934.5"	"26.90"	"5570.6"	"5229.8"	"6348.9"	"7107.1"	"2820.3"	"6322.2"	"1"
"-5380599014314355451"	"False"	"High"	"IsMasterProtein"	"FBgn0035915"	"FBgn0035915"	"0.000"	"77.105"	"32"	"17"	"37"	"8"	"555"	"61.5"	"7.80"	"823"	"17"	"16"	"4313.1"	"29.34"	"4185.4"	"3340.7"	"4444.7"	"5116.6"	"1993.8"	"4998.0"	"1"
