"FBgn" "gene_symbol" "chrom" "signal" "ML.omega" "tau" "tissuemax" "BURU" "OVDU" "SRU" "STU" "POU" "FBU" "WF" "FRT.WF" "Enrich" "BUR.enrich" "OVD.enrich" "SR.enrich" "ST.enrich" "PO.enrich" "FB.enrich" "FM" "SFP" "Testis" "AG" "Gut" "Carcass" "HeadAvg" "OvaryAvg" "tissuemaxME" "BUR.6" "BUR.24" "BUR.post" "OVD.6" "OVD.24" "OVD.post" "SR.6" "SR.24" "SR.post" "ST.6" "ST.24" "ST.post" "PO.6" "PO.24" "PO.post" "FB.6" "FB.24" "FB.post" "FRT.up6" "FRT.up24" "FRT.down6" "FRT.down24"
"FBgn0259482" "Mob3" "2" "No Signal" 0.0166 0.279364307177165 "NotSpec" 5.00796366480452 4.83757300078817 4.53019345613277 4.94257661886133 4.66470700915514 5.09999821811455 3.31871595181103 "Not" NA NA NA NA NA NA NA 1.29 NA 3 3.58496250072116 2.58496250072116 2.8073549220576 3.28540221886225 4.75488750216347 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Down" NA "Transient Down" 0 0 0 0
"FBgn0033579" "CG13229" "2" "No Signal" 0.0465 0.906523014758836 "BUR" 1.68102362121495 0.396183713764492 0.287929187035815 0.474784301342661 0.343666139180768 0 0.0593216184329811 "Higher" NA "BUR" NA NA NA NA NA -1 NA 1 1 1 0 1.32192809488736 0 "Head" "Down" NA "Transient Down" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0
"FBgn0085212" "CG34183" "2" "No Signal" 0.0822 0.209520695993365 "NotSpec" 2.41609513924899 2.1355491825176 2.26564479175071 2.05533184781227 1.97316515907371 2.18738959020392 2.24208179939703 "Not" NA NA NA NA NA NA NA 1.38 NA 2.32192809488736 3.16992500144231 1.58496250072116 2.32192809488736 1.90689059560852 3.70043971814109 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0033434" "CG1902" "2" "No Signal" 0.1318 0.32019722544917 "NotSpec" 5.35337612740609 5.18668465831897 5.28898597485568 4.78443413116161 4.57168075411128 4.87926711097602 3.63015934788557 "Not" NA NA NA NA NA NA NA -1.35 NA 6.58496250072116 6.39231742277876 6.12928301694497 4.08746284125034 4.8073549220576 4.61470984411521 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0036117" "CG6321" "3" "No Signal" 0.1362 0.463343519701324 "NotSpec" 3.09205298898227 3.2720342835732 2.82245560669977 2.18711660973388 1.93952331209649 3.69427342036049 3.43431965408983 "Not" NA NA NA NA NA NA NA 0.138 NA 4.16992500144231 3.4594316186373 2.8073549220576 2 1.32192809488736 4.08746284125034 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0036111" "Aps" "3" "No Signal" 0.0082 0.27689771892351 "NotSpec" 5.5900532217837 5.87893705827294 5.9245181205624 4.93595181467165 5.76756870260364 3.65652292063383 5.9179726277346 "Not" NA NA NA NA NA NA NA 1.44 NA 5.8073549220576 6.44294349584873 6.64385618977472 6.37503943134692 6.40514146313634 8.60547951806167 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0033439" "CG1773" "2" "Signal" NA 0.962558137022444 "FB" 0.361417410673611 0.472663065704941 0.856639133501821 0.79022723319305 1.33488054642563 4.23791258354478 0.355162616442574 "Not" NA NA NA NA NA NA "FB" -0.737 NA 1 0 0 1 1.4594316186373 0 "Head" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0033438" "Mmp2" "2" "Signal" 0.2648 0.907204598715087 "SR" 1.73334939639908 1.78737154667041 4.16060183107313 0.466220594960843 1.03247218286363 0.553229361076172 1.8989254954193 "Higher" NA NA NA "SR" NA NA NA -0.585 NA 1 1.58496250072116 2.32192809488736 2 4.35755200461808 1.58496250072116 "Head" NA NA NA "Up" NA "Transient Up" NA NA NA NA NA NA NA NA NA NA NA NA 1 1 0 0
"FBgn0032082" "CG18088" "2" "No Signal" 0.1937 0.968346080497202 "ST" 0.186066277277921 0.586143692605843 0.889802887219598 4.0834058077082 1.06345992330186 0 0.534024540752073 "Higher" NA NA NA NA "ST" NA NA 3.17 NA 0 1.58496250072116 0 1 0 1.32192809488736 "AG" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0040752" "Prosap" "2" "No Signal" 0.0487 0.685548847069385 "NotSpec" 4.95542927730077 6.86778378330301 5.38305894686413 5.99513538589875 5.89910489524636 0.741524607760498 4.73183701817925 "Higher" NA NA "OVD" NA NA NA NA 1.18 NA 1.58496250072116 4.39231742277876 2.58496250072116 3 4.04439411935845 4.93073733756289 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0029174" "Fkbp59" "2" "No Signal" 0.0789 0.746997740021701 "NotSpec" 5.43036608163711 5.24580612309192 5.41574068667853 5.53174780207693 5.33557938852464 7.23006551781787 7.87372619746665 "Not" NA NA NA NA NA NA NA 1.51 NA 7.16992500144231 5.8073549220576 5.20945336562895 5.90689059560852 5.467605550083 7.38370429247405 "Ovary" "Up" NA "Transient Up" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0
"FBgn0040754" "CG17059" "2" "No Signal" 0.0309 0.4522726031974 "NotSpec" 5.45277015848215 4.94827790972057 5.42314943785816 4.790538926321 4.89011660005328 5.79780387291134 3.40997606124881 "Higher" NA "BUR" NA "SR" NA NA NA 0.312 NA 4.32192809488736 4.90689059560852 4.52356195605701 4.58496250072116 4.79441586635011 4.4594316186373 "AG" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0010043" "GstD7" "3" "No Signal" NA 0.839006928515582 "NotSpec" 0.0645417534007619 0.124732439864357 0.182083273281441 1.83285748461796 2.36224304245717 0.383251875029831 0.897956356126417 "Not" NA NA NA NA NA NA NA 0 NA 0 1 3.16992500144231 0 0 0 "Gut" NA NA NA NA NA NA NA NA NA NA NA NA NA "Up" "Persist Up" NA NA NA 0 0 0 0
"FBgn0036090" "CG8009" "3" "No Signal" 0.0808 0.609073775373308 "NotSpec" 2.98456347731747 3.29836674304663 4.03574436845746 2.89273712842319 3.29763992348768 1.52142553843775 2.0845208024094 "Higher" NA NA NA "SR" NA NA NA -0.0671 NA 4.08746284125034 3.90689059560852 4.16992500144231 3.70043971814109 3.78135971352466 4.97727992349992 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0038244" "CG7987" "3" "No Signal" 0.1372 0.777003262229902 "NotSpec" 4.71051127746463 4.75568398062824 4.5756837746498 5.0789698826172 4.77659469428851 4.17307863871523 6.82435742125512 "Not" NA NA NA NA NA NA NA 1.55 NA 3.32192809488736 3.16992500144231 3 3.32192809488736 3.61470984411521 5.4262647547021 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0038243" "CG8066" "3" "No Signal" NA 0.713673035052246 "NotSpec" 7.08029413806593 5.1896301658789 6.24460156096027 5.43138005728605 5.48838199864333 4.93317974333476 2.54853748064932 "Higher" "allFRT" "BUR" "OVD" "SR" "ST" "PO" NA -0.585 NA 3.70043971814109 5.39231742277876 5.49185309632967 4.24792751344359 4.14974711950468 4.61470984411521 "Gut" NA NA NA NA NA NA NA NA NA NA NA NA NA "Down" "Persist Down" NA NA NA 0 0 0 0
"FBgn0029170" "TwdlT" "3" "Signal" 0.1988 0.9271678653512 "BUR" 3.53010056955522 1.14863232398015 1.75988941395689 0.346776763958075 0.597824381337216 0.0760569368767135 0.224303166007609 "Higher" NA "BUR" NA "SR" NA NA NA -1 NA 4.24792751344359 4 2 2.58496250072116 2.75488750216347 0 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0032864" "CG2493" "2" "No Signal" 0.0688 0.847021851560463 "NotSpec" 5.78687123746915 5.51180224402093 6.3065762321945 4.76116634280744 5.08910490425348 8.33630729548026 5.92113817937433 "Not" NA NA NA NA NA NA NA 0.885 NA 4.08746284125034 3 3.16992500144231 5.58496250072116 5.96000193206808 5.82017896241519 "Head" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0036094" "CG14153" "3" "Signal" 0.1628 0.549429428732977 "NotSpec" 0.963078209607446 1.49431096470288 1.24766065841933 0.318210455133057 0.613597984639088 1.40463214974717 0.219757514811506 "Higher" NA NA "OVD" NA NA NA NA -1.22 NA 0 2 0 2 2.75488750216347 0 "Head" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0036373" "Tgi" "3" "No Signal" 0.13 0.392986704903214 "NotSpec" 4.25835974198498 4.31828447767671 4.0467941269762 4.69494957332956 4.82412289584526 3.51318014998759 5.02888015218598 "Not" NA NA NA NA NA NA NA 0.788 NA 4.90689059560852 5.52356195605701 4.4594316186373 4.64385618977472 5.17990909001493 6.14974711950468 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0036374" "Spt20" "3" "No Signal" 0.0562 0.666109363573664 "NotSpec" 2.46746581133783 3.12688477933899 2.65505763359773 3.05362498917143 3.35626475313669 1.05190023762094 4.21425097483232 "Not" NA NA NA NA NA NA NA 1.81 NA 1.58496250072116 2.58496250072116 2.58496250072116 2.8073549220576 3.24792751344359 5.20945336562895 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0036377" "CG10710" "3" "No Signal" 0.0744 0.827018602789507 "NotSpec" 3.06646758682061 1.96680703522322 2.23357994282841 0.434330295706061 0.527179238694532 0.122888189448818 0.218330480050084 "Higher" "Epithelial" "BUR" "OVD" "SR" NA NA NA -1.58 NA 0 1 0 1.58496250072116 1 0 "Carcass" "Up" NA "Transient Up" NA NA NA "Up" NA "Transient Up" NA NA NA NA NA NA NA NA NA 2 0 0 0
"FBgn0036376" "Liprin-beta" "3" "No Signal" 0.0365 0.290659178870612 "NotSpec" 4.90919201874804 5.08016047662953 4.90195300762163 4.80490299021193 4.89316703888813 2.74896367546298 4.41837348202391 "Not" NA NA NA NA NA NA NA 0.798 NA 3.70043971814109 4.16992500144231 4.16992500144231 3.8073549220576 3.4594316186373 5.65821148275179 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Up" NA "Transient Up" 0 0 0 0
"FBgn0051908" "CG31908" "2" "No Signal" 0.2368 0.234312804878472 "NotSpec" 5.18739691362291 5.36402692237886 5.11684721577087 5.50966640886196 5.17073119442859 5.17791311543821 5.63749689156995 "Not" NA NA NA NA NA NA NA 0.0356 NA 5.52356195605701 4.24792751344359 3.58496250072116 3.32192809488736 3.35755200461808 4.78135971352466 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0051729" "CG31729" "2" "No Signal" 0.0201 0.565205852727282 "NotSpec" 6.91783150299985 6.81395300372578 6.94582580075841 7.84749235866919 7.19118930645308 5.56262511899759 5.7583631379305 "Higher" NA NA NA NA "ST" NA NA -0.339 NA 3.90689059560852 4.52356195605701 3.58496250072116 3.58496250072116 4.39231742277876 4.32192809488736 "AG" "Down" NA "Transient Down" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0
"FBgn0005617" "msl-1" "2" "No Signal" 0.3538 0.613050150912866 "NotSpec" 2.70349005548898 3.25519550003518 2.78680457602359 2.47498372659182 3.06379459223007 1.24965713411201 3.93795883074058 "Not" NA NA NA NA NA NA NA 3.07 NA 2 3.58496250072116 3.90689059560852 4.39231742277876 4.18982455888002 7.73131903102506 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0005612" "Sox14" "2" "No Signal" 0.2063 0.458722173112915 "NotSpec" 3.10942824698604 3.90657931059027 3.57223793171795 3.34699054211619 4.10588643928215 2.91352146094858 2.44378194275743 "Not" NA NA NA NA NA NA NA 0.241 NA 2 3.90689059560852 4.24792751344359 4 4 2.90689059560852 "Gut" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0025809" "Paf-AHalpha" "X" "No Signal" 0.0373 0.367456994004722 "NotSpec" 3.5371137905822 3.75868101970893 3.4361837809712 3.11630398323569 3.54966906339164 1.42252684141491 3.0144889178728 "Not" NA NA NA NA NA NA NA 1.74 NA 5 5 4.52356195605701 4.24792751344359 4.8073549220576 7 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0027338" "Kap-alpha3" "3" "No Signal" 0.0725 0.205810707537387 "NotSpec" 7.1412802975466 7.22643928779135 7.05521286924477 7.5775263294899 7.25384107922898 7.6086589089683 7.35526065803403 "Not" NA NA NA NA NA NA NA 0.842 NA 6.55458885167764 6.04439411935845 5.95419631038687 6 5.876516946565 7.64024493622235 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0039419" "CG12290" "3" "No Signal" 0.0321 0.625726368624108 "NotSpec" 2.80513011885932 2.62484958238713 1.29712588120255 0.957409502299972 2.47689298330769 0.640884999635053 0.812261271928525 "Higher" NA "BUR" "OVD" NA NA "PO" NA -0.585 NA 1 1.58496250072116 3 3 2.8073549220576 1 "Gut" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0262353" "lncRNA:CR43051" "2" "No Signal" NA 0.918471122116274 "FB" 4.19878038965995 3.27769078364185 3.62712302105942 2.52477997133366 3.60428578719371 6.80860372840187 1.00826508729639 "Higher" NA "BUR" "OVD" "SR" NA "PO" "FB" 0.907 NA 0 1.58496250072116 6.32192809488736 4.58496250072116 5.14974711950468 1.58496250072116 "Gut" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Down" NA "Transient Down" 0 0 0 0
"FBgn0260933" "rempA" "2" "No Signal" 0.031 0.583324277230963 "NotSpec" 1.95935851166892 1.05121642401286 1.43841629514249 1.40376449414402 0.961243147757311 0 1.50943057903075 "Not" NA NA NA NA NA NA NA -2 NA 2.32192809488736 1 0 0 0.584962500721156 1.32192809488736 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0035876" "Pex2" "3" "No Signal" 0.084 0.537754848891899 "NotSpec" 2.18698672043674 2.18253293337612 2.50376873401161 2.85511149073972 3.05285348155006 3.61659710236929 2.79643717095557 "Not" NA NA NA NA NA NA NA 1.36 NA 1 1 3 3 2.75488750216347 4.24792751344359 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0035875" "Cpr66Cb" "3" "Signal" 9e-04 0.975496923684246 "ST" 1.08707542440606 0.445389442213135 0.702656719572646 5.12667958416466 1.95447185082232 0 0 "Higher" NA NA NA NA "ST" NA NA -2.32 NA 3.4594316186373 2.58496250072116 0 0 0 0 "Testis" NA NA NA NA NA NA NA NA NA "Down" NA "Transient Down" NA NA NA NA NA NA 0 0 1 0
"FBgn0035872" "Cpsf6" "3" "No Signal" 0.0379 0.868019664708304 "NotSpec" 4.13177953856621 4.38074628368521 4.29737482477421 5.02851079742025 4.56921545121954 4.5272796018168 7.3838147575626 "Not" NA NA NA NA NA NA NA 2.03 NA 4.58496250072116 4 4.16992500144231 4.08746284125034 4.16992500144231 6.93073733756289 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0035871" "BI-1" "3" "No Signal" 0.0446 0.530670868155429 "NotSpec" 7.36517878530875 6.98246102673516 7.47342491607144 7.59117081869782 7.85685235444248 8.43618281560753 6.40730490166804 "Not" NA NA NA NA NA NA NA -1.57 NA 9.16239132875691 8.00562454919388 6.04439411935845 5.78135971352466 5.94836723158468 5.56985560833095 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0028646" "aralar1" "3" "No Signal" NA 0.804659307391186 "NotSpec" 5.7289120222576 6.07742380456659 6.81894536507615 6.61376761853634 6.41228635884537 8.696050954354 6.21611064092404 "Not" NA NA NA NA NA NA NA 0.354 NA 2.8073549220576 3.8073549220576 5.04439411935845 5.75488750216347 5.8008998999203 5.06608919045777 "Head" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0028648" "mRpL50" "3" "No Signal" 0.0966 0.386841043047801 "NotSpec" 3.77340096746616 3.75977448232923 3.58911016247064 3.23930598511395 3.23685417989639 4.05746247750257 4.29970917816301 "Not" NA NA NA NA NA NA NA 1.23 NA 5.12928301694497 4.64385618977472 4.64385618977472 4.52356195605701 4.64385618977472 5.75488750216347 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0025549" "unc-119" "X" "No Signal" 0.1822 0.414465068884906 "NotSpec" 3.12043034694506 3.47815328676679 3.59144034665679 3.23535526074034 4.12439955222394 2.60079930288295 4.03406152683076 "Not" NA NA NA NA NA NA NA 1.06 NA 4.4594316186373 5.4262647547021 4.58496250072116 4.70043971814109 5.876516946565 7.20945336562895 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0032478" "CG5458" "2" "No Signal" 0.0782 0.676234227473753 "NotSpec" 1.39246028159821 1.62255890381175 1.41269470186692 2.3530015672972 1.58720994968773 0.623477528505198 0.0973174254324942 "Higher" NA NA NA "SR" "ST" "PO" NA -3.64 NA 7.02236781302845 4.75488750216347 1 1 1 0 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0032479" "CG16974" "2" "Signal" 0.1186 0.483695137835318 "NotSpec" 5.7726637474932 5.34617919027662 4.75749408438233 5.85009067227741 5.66909556050184 4.8852814759303 6.37781117846096 "Not" NA NA NA NA NA NA NA 0.531 NA 3 3.8073549220576 4.32192809488736 4.08746284125034 5.467605550083 5.65821148275179 "Ovary" "Down" NA "Transient Down" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0
"FBgn0032477" "CG5287" "2" "No Signal" 0.0423 0.690840691898766 "NotSpec" 3.05407449050708 3.43813385971346 3.54320662078625 4.93255080810355 5.27579527000331 3.24034887621326 2.38338270505873 "Higher" "Gland" NA NA NA "ST" "PO" NA -0.181 NA 2.8073549220576 3.4594316186373 3.16992500144231 2.32192809488736 3.58496250072116 2.90689059560852 "Head" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Up" NA "Transient Up" 0 0 0 0
"FBgn0032474" "DnaJ-H" "2" "No Signal" NA 0.372085043139877 "NotSpec" 5.4597403467016 5.18713397144903 5.07754889853206 4.60454791638385 4.64775507003379 3.87306076266621 5.07853896625076 "Not" NA NA NA NA NA NA NA -2.26 NA 8.56605403817109 5.83289001416474 3.8073549220576 4.08746284125034 4.95419631038687 5.49185309632967 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
